"source" "brand" "średnia_reakcji" "średnia_ER"
"Facebook" "BasicLab" 77 0.142592592592593
"Facebook" "HTC" 14.5454545454545 0.181818181818182
"Facebook" "Kaya" 33.7456140350877 0.0496259029927761
"Facebook" "Miyo" 5.35714285714286 0.0130662020905923
"Facebook" "Tolpa" 79.0659340659341 0.0488061321394655
"Instagram" "BasicLab" 485.365079365079 0.566353651534515
"Instagram" "HTC" 363.467532467532 0.904148090715255
"Instagram" "Kaya" 2469.82608695652 2.33002461033634
"Instagram" "Miyo" 522.61320754717 0.709108829779064
"Instagram" "Tolpa" 385.41958041958 0.518734293969826
